"GeneName","pvalue","no_of_SNPs","pval_combination_GBJ_minP_GHC_SKAT","list_of_pvalue"
"Zm00001eb112000",0.0703737581869447,2,"Yes","0.03644517,0.8048427"
"Zm00001eb327430",0.0706485864526849,5,"Yes","0.3042378,0.1333681,0.111662,0.1055309,0.1103496"
"Zm00001eb321120",0.07121773,1,"No","0.07121773"
"Zm00001eb357980",0.07122347,1,"No","0.07122347"
"Zm00001eb395330",0.0715989,1,"No","0.0715989"
"Zm00001eb111290",0.0718074308736224,3,"Yes","0.4589255,0.5205168,0.0134182"
"Zm00001eb088530",0.07186679,1,"No","0.07186679"
"Zm00001eb173740",0.0723575,1,"No","0.0723575"
"Zm00001eb114860",0.0725585015663518,2,"Yes","0.3810281,0.03696286"
"Zm00001eb414590",0.0736718799746838,2,"Yes","0.08941357,0.03755849"
"Zm00001eb122190",0.07367659,1,"No","0.07367659"
"Zm00001eb212930",0.0741972419466158,3,"Yes","0.0139637,0.6791511,0.6733747"
"Zm00001eb323310",0.0743396790483032,9,"Yes","0.4922803,0.9775368,0.05014474,0.9077838,0.04907438,0.008881078,0.8973744,0.1254151,0.6353683"
"Zm00001eb392380",0.0746227530793963,2,"Yes","0.5742062,0.03806674"
"Zm00001eb062510",0.0746319786106251,5,"Yes","0.2526061,0.008895177,0.3736728,0.340204,0.2737228"
"Zm00001eb215820",0.0758306328369993,13,"Yes","0.03112765,0.5098295,0.3922294,0.005558289,0.7763161,0.02623985,0.8991123,0.09414484,0.3577481,0.9510586,0.7703584,0.2610327,0.3141738"
"Zm00001eb400350",0.07645586,1,"No","0.07645586"
"Zm00001eb078760",0.0766088139268731,4,"Yes","0.1509883,0.01155191,0.4296205,0.3555475"
"Zm00001eb095960",0.0767549528233544,2,"Yes","0.860579,0.03917467"
"Zm00001eb289350",0.0768000992571454,5,"Yes","0.1264256,0.1141811,0.8664636,0.1914414,0.1432584"
"Zm00001eb289360",0.0768000992571454,5,"Yes","0.1264256,0.1141811,0.8664636,0.1914414,0.1432584"
"Zm00001eb157280",0.0768615312320148,5,"Yes","0.2318947,0.04562254,0.06959065,0.04383039,0.07016921"
"Zm00001eb427080",0.0768713426711285,2,"Yes","0.1809773,0.03924884"
"Zm00001eb286000",0.0769422992011627,5,"Yes","0.1143058,0.008147388,0.8543298,0.3376203,0.1616892"
"Zm00001eb274500",0.07700297,1,"No","0.07700297"
